Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Japan,2024,Malware,Retail,31.5,848151,Unknown,Unpatched Software,Encryption,35
Japan,2020,Phishing,Government,4.03,157321,Nation-state,Weak Passwords,Firewall,22
China,2019,SQL Injection,IT,1.07,213117,Insider,Social Engineering,Antivirus,3
UK,2019,DDoS,IT,64.89,759782,Hacker Group,Social Engineering,Antivirus,53
USA,2018,Malware,IT,16.64,479074,Hacker Group,Unpatched Software,VPN,17
UK,2024,Man-in-the-Middle,Retail,4.85,177488,Hacker Group,Unpatched Software,VPN,4
Brazil,2016,Phishing,Banking,3.05,256882,Hacker Group,Weak Passwords,Firewall,11
Japan,2024,Phishing,Banking,12.8,361411,Hacker Group,Unpatched Software,VPN,14
India,2022,Ransomware,Banking,6.06,78094,Hacker Group,Social Engineering,Encryption,7
Australia,2017,Ransomware,Banking,5.33,115566,Hacker Group,Unpatched Software,Encryption,17
Brazil,2023,Malware,Government,5.68,243729,Hacker Group,Social Engineering,Antivirus,17
Japan,2018,Phishing,IT,15.45,276067,Nation-state,Weak Passwords,VPN,41
USA,2022,Phishing,Telecommunications,47.65,648497,Unknown,Unpatched Software,Firewall,37
Germany,2017,DDoS,Retail,1.6,260390,Nation-state,Weak Passwords,Antivirus,19
USA,2019,Malware,Retail,66.67,764025,Unknown,Social Engineering,AI-based Detection,57
USA,2024,DDoS,Retail,15.76,587534,Insider,Social Engineering,VPN,13
Germany,2024,Phishing,Education,2.81,163223,Nation-state,Zero-day,VPN,17
USA,2016,DDoS,Government,8.47,124524,Insider,Social Engineering,Antivirus,20
France,2024,Malware,Telecommunications,33.74,682841,Hacker Group,Unpatched Software,Antivirus,37
UK,2017,DDoS,Government,60.08,789680,Hacker Group,Weak Passwords,AI-based Detection,42
India,2022,Phishing,Banking,2.18,251856,Insider,Social Engineering,VPN,14
France,2023,SQL Injection,Banking,3.04,59780,Unknown,Social Engineering,Encryption,5
UK,2023,Phishing,Healthcare,16.47,331328,Nation-state,Social Engineering,Antivirus,14
Japan,2018,Phishing,Government,24.03,492763,Hacker Group,Unpatched Software,Firewall,21
Brazil,2015,Phishing,Retail,41.92,808526,Nation-state,Unpatched Software,Firewall,67
Brazil,2024,Ransomware,Healthcare,9.38,173513,Hacker Group,Unpatched Software,Firewall,21
China,2024,DDoS,Retail,16.25,522657,Nation-state,Weak Passwords,Firewall,48
UK,2020,Phishing,Retail,45.6,915283,Unknown,Zero-day,Antivirus,66
Brazil,2017,Man-in-the-Middle,Education,0.92,277084,Unknown,Weak Passwords,VPN,23
Australia,2019,Phishing,Telecommunications,35.71,698971,Insider,Social Engineering,VPN,67
Japan,2018,Phishing,Healthcare,19.84,296591,Unknown,Weak Passwords,AI-based Detection,37
Japan,2023,DDoS,Banking,14.81,326354,Nation-state,Zero-day,AI-based Detection,26
France,2023,SQL Injection,Banking,74.23,794273,Nation-state,Social Engineering,Antivirus,38
India,2023,Man-in-the-Middle,IT,3.48,140281,Insider,Weak Passwords,Firewall,17
France,2016,Man-in-the-Middle,Healthcare,12.89,206355,Nation-state,Zero-day,Encryption,35
China,2023,DDoS,Government,19.51,479538,Insider,Social Engineering,Firewall,45
Australia,2016,Ransomware,Government,4.76,52492,Unknown,Social Engineering,Firewall,12
USA,2020,Ransomware,Healthcare,6.39,225304,Nation-state,Zero-day,Encryption,22
Germany,2021,Ransomware,Retail,36.06,511551,Hacker Group,Zero-day,Antivirus,71
Brazil,2024,Phishing,Government,6.4,194117,Hacker Group,Social Engineering,Encryption,9
Germany,2021,DDoS,IT,29.22,281722,Nation-state,Weak Passwords,VPN,27
Japan,2021,Phishing,Education,13.06,310948,Unknown,Unpatched Software,Firewall,33
Russia,2023,Malware,Banking,5.86,121370,Nation-state,Weak Passwords,Firewall,18
France,2020,SQL Injection,Healthcare,13.27,259135,Unknown,Unpatched Software,Firewall,18
Japan,2019,Man-in-the-Middle,Telecommunications,17.61,455899,Hacker Group,Weak Passwords,Firewall,12
USA,2019,SQL Injection,Retail,17.99,422662,Hacker Group,Unpatched Software,AI-based Detection,40
Russia,2021,SQL Injection,Banking,7.45,205127,Hacker Group,Unpatched Software,VPN,16
Japan,2018,DDoS,IT,4.75,135345,Unknown,Social Engineering,Firewall,24
India,2024,DDoS,Healthcare,11.59,536288,Hacker Group,Zero-day,AI-based Detection,13
Russia,2018,Malware,Education,13.87,546011,Unknown,Unpatched Software,Antivirus,32
India,2022,DDoS,Banking,13.56,298898,Unknown,Weak Passwords,VPN,47
Brazil,2017,DDoS,Healthcare,5.57,86995,Hacker Group,Unpatched Software,Encryption,3
France,2022,DDoS,IT,2.89,140389,Insider,Social Engineering,Firewall,19
Russia,2021,SQL Injection,IT,2.82,154295,Insider,Unpatched Software,Firewall,10
Japan,2020,Phishing,Banking,49.87,964902,Unknown,Social Engineering,Antivirus,27
Brazil,2018,Malware,Healthcare,2.43,198172,Unknown,Zero-day,VPN,13
Germany,2023,DDoS,Banking,2.1,257657,Unknown,Social Engineering,Antivirus,15
India,2015,Phishing,Government,10.98,511273,Hacker Group,Social Engineering,VPN,40
Australia,2015,Man-in-the-Middle,Banking,2.51,276168,Hacker Group,Weak Passwords,Encryption,3
Japan,2023,Malware,Banking,2.05,82256,Unknown,Social Engineering,Firewall,23
China,2015,Ransomware,Education,8.85,143716,Hacker Group,Social Engineering,Antivirus,20
Russia,2017,Ransomware,Government,46.84,914191,Hacker Group,Zero-day,AI-based Detection,53
China,2023,Ransomware,IT,30.37,880333,Hacker Group,Zero-day,VPN,59
USA,2022,Phishing,Government,12.05,533874,Insider,Unpatched Software,Firewall,29
Australia,2017,Phishing,Education,10.6,215836,Insider,Unpatched Software,VPN,40
Brazil,2016,SQL Injection,Healthcare,1.24,240130,Hacker Group,Zero-day,VPN,23
China,2016,DDoS,Healthcare,10.36,410090,Hacker Group,Unpatched Software,Encryption,25
UK,2022,Phishing,Telecommunications,9.12,238876,Unknown,Weak Passwords,VPN,23
Brazil,2019,Ransomware,Banking,27.24,493454,Nation-state,Zero-day,Encryption,26
India,2018,Phishing,Banking,13.26,485394,Unknown,Social Engineering,Firewall,13
Russia,2022,SQL Injection,Retail,6.95,140068,Unknown,Unpatched Software,VPN,24
India,2018,Phishing,Banking,8.31,32055,Unknown,Weak Passwords,Encryption,1
Japan,2024,Malware,Healthcare,17.12,484895,Unknown,Zero-day,VPN,35
Japan,2015,SQL Injection,IT,8.42,13254,Nation-state,Social Engineering,AI-based Detection,17
India,2022,Phishing,Education,1.22,271460,Hacker Group,Social Engineering,Encryption,15
UK,2022,SQL Injection,Telecommunications,16.84,388005,Hacker Group,Social Engineering,Antivirus,13
India,2022,Phishing,Telecommunications,19.94,581703,Nation-state,Unpatched Software,AI-based Detection,37
India,2023,Phishing,Banking,8.72,275754,Nation-state,Weak Passwords,Antivirus,22
Germany,2020,Phishing,IT,9.74,230269,Insider,Weak Passwords,Firewall,16
Japan,2021,Ransomware,Banking,66.06,596346,Hacker Group,Social Engineering,Firewall,47
China,2018,DDoS,Telecommunications,4.19,207942,Insider,Weak Passwords,AI-based Detection,16
Japan,2024,Malware,Government,2.71,39598,Insider,Social Engineering,VPN,23
India,2024,DDoS,Banking,8.66,132187,Nation-state,Zero-day,Firewall,10
USA,2018,SQL Injection,Education,93.5,982407,Unknown,Unpatched Software,AI-based Detection,41
Japan,2015,Malware,Healthcare,31.37,972775,Hacker Group,Unpatched Software,Firewall,61
Japan,2021,Malware,Banking,16.33,217489,Nation-state,Unpatched Software,VPN,25
India,2019,SQL Injection,Education,13.48,225450,Hacker Group,Social Engineering,Firewall,32
UK,2023,Man-in-the-Middle,Telecommunications,42.52,852461,Hacker Group,Social Engineering,Antivirus,52
Germany,2023,Man-in-the-Middle,IT,15.16,480217,Hacker Group,Zero-day,VPN,42
Australia,2021,Phishing,Telecommunications,7.6,282139,Nation-state,Weak Passwords,Firewall,23
UK,2017,Phishing,Education,29.88,357536,Hacker Group,Social Engineering,VPN,31
Germany,2015,Man-in-the-Middle,Telecommunications,1.42,269134,Unknown,Zero-day,Antivirus,5
China,2023,DDoS,Healthcare,18.79,478231,Hacker Group,Zero-day,Antivirus,29
France,2018,Ransomware,Retail,2.46,2575,Hacker Group,Weak Passwords,Firewall,15
China,2021,Malware,Education,19.75,523467,Hacker Group,Unpatched Software,AI-based Detection,32
Russia,2020,Phishing,IT,17.76,266018,Nation-state,Unpatched Software,AI-based Detection,22
India,2017,Phishing,Retail,17.15,305149,Unknown,Social Engineering,VPN,16
USA,2017,Malware,Retail,9.74,193753,Insider,Social Engineering,VPN,8
China,2019,Malware,Telecommunications,4.42,221113,Nation-state,Social Engineering,AI-based Detection,5
Brazil,2020,Phishing,Government,1.07,180967,Hacker Group,Weak Passwords,Firewall,5
China,2023,DDoS,Government,16.7,372147,Unknown,Social Engineering,Encryption,36
Germany,2016,DDoS,Banking,21.17,311850,Unknown,Social Engineering,VPN,20
USA,2021,DDoS,IT,3.43,222701,Hacker Group,Social Engineering,AI-based Detection,17
Japan,2016,SQL Injection,Retail,6.46,55156,Unknown,Social Engineering,Firewall,7
Australia,2020,Ransomware,Government,7.53,4057,Hacker Group,Unpatched Software,Firewall,24
Brazil,2019,Ransomware,IT,10.97,515488,Nation-state,Zero-day,Firewall,27
China,2023,Phishing,Banking,5.38,190801,Hacker Group,Social Engineering,Firewall,5
Australia,2021,DDoS,Government,37.34,567497,Nation-state,Social Engineering,VPN,58
UK,2015,Malware,Banking,60.18,540864,Hacker Group,Unpatched Software,Firewall,66
UK,2020,Malware,Banking,19.11,382141,Hacker Group,Weak Passwords,AI-based Detection,45
China,2017,SQL Injection,Banking,19.84,563424,Insider,Unpatched Software,Firewall,14
China,2016,Ransomware,Telecommunications,8.48,51245,Hacker Group,Social Engineering,Encryption,1
Russia,2018,SQL Injection,Government,1.33,2278,Nation-state,Zero-day,Encryption,21
USA,2023,Malware,Retail,13.48,240802,Hacker Group,Unpatched Software,Firewall,42
Brazil,2015,DDoS,Retail,9.82,172474,Insider,Zero-day,Firewall,5
UK,2022,Phishing,Education,7.44,182982,Unknown,Unpatched Software,AI-based Detection,6
USA,2018,Malware,Education,1.88,264972,Insider,Social Engineering,Firewall,2
UK,2015,Man-in-the-Middle,Banking,11.6,388228,Insider,Weak Passwords,VPN,19
Brazil,2021,Malware,Government,10.22,559909,Unknown,Unpatched Software,Antivirus,31
USA,2015,Malware,IT,2.2,117497,Insider,Social Engineering,AI-based Detection,17
China,2020,Man-in-the-Middle,Banking,16.05,484349,Unknown,Unpatched Software,Antivirus,22
Brazil,2016,Phishing,Retail,13.05,204399,Unknown,Social Engineering,Firewall,15
Japan,2016,Phishing,IT,19.89,236951,Unknown,Unpatched Software,Antivirus,43
UK,2023,Phishing,Telecommunications,23.73,217454,Unknown,Social Engineering,VPN,27
Germany,2020,SQL Injection,Healthcare,19.43,583172,Unknown,Unpatched Software,Antivirus,45
France,2020,Man-in-the-Middle,Retail,14.63,382752,Unknown,Unpatched Software,AI-based Detection,21
UK,2017,DDoS,Telecommunications,43.95,998807,Nation-state,Weak Passwords,Firewall,58
Australia,2017,Ransomware,IT,15.48,478168,Nation-state,Social Engineering,VPN,38
Japan,2023,Phishing,Government,14.51,243906,Nation-state,Unpatched Software,Antivirus,41
USA,2015,Ransomware,Telecommunications,12.71,267289,Insider,Social Engineering,VPN,21
India,2022,Man-in-the-Middle,Telecommunications,4.77,281468,Insider,Unpatched Software,Encryption,4
Japan,2023,SQL Injection,Retail,19.23,338635,Nation-state,Unpatched Software,Encryption,16
Brazil,2021,Phishing,Education,45.4,696297,Hacker Group,Zero-day,Firewall,26
USA,2024,Ransomware,Telecommunications,31.04,891900,Unknown,Social Engineering,Encryption,38
Australia,2019,Man-in-the-Middle,Retail,12.13,265771,Hacker Group,Unpatched Software,Firewall,17
USA,2017,SQL Injection,Healthcare,39.54,988360,Hacker Group,Zero-day,AI-based Detection,53
USA,2018,Malware,Telecommunications,28.53,206050,Hacker Group,Social Engineering,AI-based Detection,27
Germany,2016,Phishing,IT,9.92,36902,Nation-state,Social Engineering,Firewall,2
Australia,2015,DDoS,IT,30.53,551960,Hacker Group,Social Engineering,Firewall,68
USA,2019,SQL Injection,Retail,4.4,277761,Nation-state,Zero-day,Firewall,5
Brazil,2020,Ransomware,Telecommunications,4.49,211380,Hacker Group,Zero-day,VPN,24
Germany,2018,DDoS,Education,17.43,379645,Nation-state,Unpatched Software,Firewall,22
India,2015,Man-in-the-Middle,Education,49.04,872820,Unknown,Zero-day,VPN,72
France,2016,Phishing,Banking,2.12,49928,Unknown,Social Engineering,VPN,21
Australia,2017,DDoS,Banking,39.45,993158,Hacker Group,Zero-day,Firewall,35
France,2024,DDoS,Government,46.94,994348,Hacker Group,Zero-day,Encryption,65
China,2021,SQL Injection,Healthcare,3.72,113020,Unknown,Social Engineering,Antivirus,2
Brazil,2018,Malware,Education,16.04,507923,Nation-state,Unpatched Software,Firewall,29
USA,2015,DDoS,IT,99.02,841058,Nation-state,Social Engineering,Firewall,48
Japan,2022,Ransomware,Healthcare,41.52,681081,Insider,Unpatched Software,AI-based Detection,41
Japan,2017,Malware,Retail,6.16,58472,Hacker Group,Zero-day,VPN,17
Brazil,2022,SQL Injection,Banking,6.86,224183,Unknown,Zero-day,AI-based Detection,8
India,2023,SQL Injection,Banking,25.08,489336,Unknown,Weak Passwords,Firewall,14
China,2019,Ransomware,Government,16.14,246850,Insider,Weak Passwords,Encryption,40
China,2020,Man-in-the-Middle,Banking,26.17,550936,Insider,Unpatched Software,Encryption,22
China,2016,Phishing,Banking,6.98,285909,Hacker Group,Unpatched Software,AI-based Detection,16
Brazil,2015,Malware,Retail,10.46,253394,Unknown,Social Engineering,Firewall,24
USA,2016,Ransomware,Banking,6.32,156755,Unknown,Social Engineering,Firewall,1
India,2016,Malware,Telecommunications,7.23,211898,Hacker Group,Social Engineering,VPN,11
Australia,2024,Malware,Telecommunications,19.84,523474,Unknown,Unpatched Software,Firewall,47
China,2017,Ransomware,Banking,1.69,57619,Nation-state,Weak Passwords,Firewall,20
Japan,2018,SQL Injection,Government,14.67,469088,Hacker Group,Zero-day,Firewall,26
China,2022,DDoS,Retail,3.91,99429,Hacker Group,Zero-day,Firewall,2
France,2019,Phishing,Retail,9.31,185950,Nation-state,Social Engineering,AI-based Detection,9
USA,2016,Man-in-the-Middle,Education,18.97,324354,Hacker Group,Unpatched Software,Firewall,32
China,2022,Ransomware,IT,0.55,217170,Unknown,Unpatched Software,Firewall,15
Brazil,2021,DDoS,Telecommunications,37.5,755993,Hacker Group,Unpatched Software,AI-based Detection,56
Russia,2024,Malware,Education,10.48,364257,Nation-state,Social Engineering,Firewall,27
Russia,2023,DDoS,Banking,1.77,149436,Insider,Social Engineering,Antivirus,15
USA,2023,SQL Injection,Government,4.26,7751,Unknown,Zero-day,Antivirus,14
UK,2018,SQL Injection,Government,2.85,212042,Unknown,Zero-day,Firewall,19
Russia,2017,SQL Injection,Telecommunications,18.25,222485,Hacker Group,Social Engineering,Encryption,47
Germany,2020,SQL Injection,Telecommunications,15.76,259815,Nation-state,Social Engineering,Antivirus,16
Brazil,2017,Ransomware,Banking,19.44,234044,Hacker Group,Social Engineering,Encryption,16
Brazil,2017,Malware,Banking,14.74,586274,Unknown,Unpatched Software,Encryption,38
Japan,2016,Man-in-the-Middle,Healthcare,6.5,19834,Nation-state,Social Engineering,Antivirus,14
Japan,2024,Ransomware,Retail,17.79,564634,Unknown,Social Engineering,Firewall,18
France,2017,DDoS,Retail,5.95,183513,Hacker Group,Social Engineering,AI-based Detection,14
Brazil,2020,Phishing,Government,15.59,493243,Unknown,Zero-day,AI-based Detection,30
India,2015,Ransomware,Retail,29.54,384106,Nation-state,Unpatched Software,Encryption,39
Japan,2017,DDoS,Telecommunications,6.97,170904,Unknown,Unpatched Software,Antivirus,9
Japan,2021,Ransomware,Banking,77.86,674827,Hacker Group,Social Engineering,Antivirus,47
France,2020,Phishing,Government,15.03,403164,Hacker Group,Unpatched Software,Antivirus,32
UK,2015,Ransomware,Healthcare,47.77,781758,Unknown,Unpatched Software,AI-based Detection,61
UK,2024,Man-in-the-Middle,Education,1.33,278801,Insider,Unpatched Software,AI-based Detection,2
Russia,2019,Malware,IT,12.67,354224,Hacker Group,Zero-day,AI-based Detection,30
Brazil,2019,DDoS,IT,19.87,432189,Hacker Group,Social Engineering,Firewall,45
USA,2020,Ransomware,Retail,19.98,299146,Nation-state,Unpatched Software,AI-based Detection,44
USA,2019,Phishing,Telecommunications,8.76,29065,Unknown,Social Engineering,Encryption,15
Brazil,2022,Malware,Healthcare,17.48,423567,Hacker Group,Unpatched Software,AI-based Detection,22
Germany,2021,Phishing,Banking,4.65,197987,Hacker Group,Unpatched Software,Antivirus,23
China,2021,SQL Injection,Banking,11.07,448721,Hacker Group,Social Engineering,VPN,45
UK,2024,Man-in-the-Middle,IT,44.48,867103,Unknown,Unpatched Software,Firewall,31
Australia,2015,SQL Injection,Retail,2.13,111967,Unknown,Unpatched Software,Firewall,2
China,2016,Ransomware,Government,17.58,542839,Unknown,Social Engineering,Encryption,26
Germany,2017,Ransomware,Retail,3.35,228294,Unknown,Weak Passwords,Firewall,10
India,2023,DDoS,Telecommunications,13.21,241524,Nation-state,Weak Passwords,Firewall,38
Russia,2021,DDoS,Telecommunications,14.21,442259,Hacker Group,Zero-day,VPN,27
USA,2016,Ransomware,Government,14.74,374743,Hacker Group,Unpatched Software,Firewall,46
Russia,2021,Malware,Education,7.84,132133,Hacker Group,Social Engineering,Antivirus,21
Australia,2021,DDoS,Banking,28.22,245958,Nation-state,Unpatched Software,Encryption,22
India,2018,DDoS,Retail,18.88,463557,Hacker Group,Zero-day,Encryption,35
France,2022,Phishing,IT,46.57,502765,Hacker Group,Unpatched Software,Antivirus,33
Brazil,2016,DDoS,Telecommunications,14.41,329267,Hacker Group,Social Engineering,Encryption,13
China,2022,Man-in-the-Middle,Government,4.7,149356,Nation-state,Social Engineering,Antivirus,5
UK,2022,Ransomware,Telecommunications,51.14,965768,Unknown,Zero-day,VPN,28
India,2016,DDoS,Retail,2.57,158341,Unknown,Unpatched Software,Encryption,12
Japan,2022,Phishing,Banking,20.23,555054,Insider,Social Engineering,AI-based Detection,16
India,2020,Phishing,Telecommunications,17.74,462429,Unknown,Social Engineering,AI-based Detection,28
India,2019,DDoS,Retail,18.57,316682,Unknown,Social Engineering,Encryption,40
Germany,2017,SQL Injection,IT,16.03,433122,Hacker Group,Weak Passwords,VPN,22
Brazil,2020,Malware,Telecommunications,11.62,550509,Hacker Group,Zero-day,Firewall,21
Germany,2019,Malware,Government,4.73,217688,Unknown,Unpatched Software,Firewall,19
China,2023,Phishing,Government,99.38,772242,Insider,Social Engineering,Firewall,57
France,2023,Ransomware,Education,19.79,448129,Hacker Group,Weak Passwords,Encryption,41
UK,2022,Ransomware,Banking,11.86,240142,Unknown,Unpatched Software,Encryption,45
France,2018,Phishing,Education,78.91,995116,Hacker Group,Unpatched Software,Encryption,61
Australia,2023,Ransomware,IT,45.1,630841,Nation-state,Social Engineering,Firewall,37
USA,2021,Malware,Education,1.38,211719,Unknown,Unpatched Software,Firewall,3
France,2016,Phishing,IT,7.7,128030,Insider,Unpatched Software,VPN,5
USA,2023,Phishing,Education,11.37,588230,Hacker Group,Unpatched Software,Antivirus,43
UK,2017,SQL Injection,Healthcare,12.49,425080,Hacker Group,Unpatched Software,Firewall,32
Germany,2022,SQL Injection,Telecommunications,10.83,268368,Hacker Group,Zero-day,VPN,14
Brazil,2015,Ransomware,Education,38.46,732655,Nation-state,Weak Passwords,VPN,49
Russia,2015,Phishing,IT,3.95,137125,Hacker Group,Social Engineering,Antivirus,5
China,2020,DDoS,IT,1.32,172520,Unknown,Weak Passwords,Antivirus,12
Australia,2015,Man-in-the-Middle,Education,5.73,103067,Hacker Group,Weak Passwords,Encryption,22
Japan,2023,DDoS,Retail,7.67,79584,Insider,Zero-day,AI-based Detection,11
Japan,2019,Malware,Telecommunications,29.42,518541,Insider,Unpatched Software,Firewall,48
Brazil,2022,Phishing,Healthcare,10.24,281419,Hacker Group,Social Engineering,Firewall,24
Germany,2021,Phishing,Education,90.55,945430,Nation-state,Weak Passwords,AI-based Detection,63
Japan,2016,Malware,Telecommunications,15.04,446495,Hacker Group,Weak Passwords,Encryption,16
India,2020,Malware,IT,3.85,117869,Nation-state,Weak Passwords,Antivirus,17
Australia,2023,Ransomware,IT,41.68,776859,Hacker Group,Social Engineering,Firewall,28
China,2015,Phishing,Banking,12.37,503589,Insider,Weak Passwords,Firewall,21
Germany,2018,Phishing,Government,20.22,358818,Unknown,Unpatched Software,Firewall,41
UK,2016,Ransomware,Banking,38.18,824541,Hacker Group,Unpatched Software,VPN,42
Germany,2019,Phishing,Healthcare,6.36,124628,Nation-state,Social Engineering,Firewall,23
Germany,2017,Ransomware,IT,10.66,267237,Unknown,Social Engineering,Antivirus,44
USA,2023,Ransomware,Retail,14.97,598556,Hacker Group,Unpatched Software,AI-based Detection,17
India,2023,Phishing,Government,16.28,291214,Hacker Group,Weak Passwords,Firewall,45
Germany,2024,DDoS,Government,18.65,556631,Unknown,Social Engineering,Firewall,14
Japan,2016,Phishing,Banking,11.33,403363,Hacker Group,Weak Passwords,VPN,21
Brazil,2024,Phishing,Banking,3.46,87278,Unknown,Unpatched Software,Encryption,1
China,2019,Phishing,Telecommunications,19.42,329395,Nation-state,Unpatched Software,Encryption,27
Japan,2015,Ransomware,Retail,4.3,253915,Unknown,Social Engineering,AI-based Detection,19
USA,2015,Ransomware,Banking,18.98,311552,Nation-state,Social Engineering,VPN,21
China,2018,Man-in-the-Middle,Government,19.79,214469,Nation-state,Weak Passwords,AI-based Detection,27
India,2016,Phishing,Healthcare,6.1,61877,Insider,Zero-day,Firewall,12
UK,2022,Phishing,Telecommunications,4.71,43144,Insider,Social Engineering,VPN,2
Brazil,2020,Malware,Government,2.56,44706,Unknown,Social Engineering,VPN,15
China,2024,Ransomware,Telecommunications,19.07,225843,Hacker Group,Weak Passwords,Encryption,45
India,2016,Malware,IT,6.66,298092,Unknown,Weak Passwords,Antivirus,7
Germany,2020,Phishing,Education,9.79,26184,Hacker Group,Unpatched Software,VPN,17
India,2020,SQL Injection,Retail,11.35,203325,Hacker Group,Weak Passwords,VPN,19
USA,2023,Ransomware,Retail,18.06,490578,Nation-state,Weak Passwords,VPN,42
India,2019,Phishing,Telecommunications,11.28,311597,Hacker Group,Zero-day,Antivirus,27
Australia,2023,Malware,Telecommunications,19.96,272609,Hacker Group,Social Engineering,Encryption,19
India,2019,Ransomware,Retail,8.46,201266,Unknown,Unpatched Software,Firewall,16
UK,2017,Phishing,Retail,57.62,797672,Nation-state,Unpatched Software,Firewall,65
Germany,2022,SQL Injection,Government,16.39,397232,Unknown,Unpatched Software,Firewall,20
China,2020,Man-in-the-Middle,Telecommunications,13.9,373105,Hacker Group,Unpatched Software,AI-based Detection,44
India,2015,Malware,Healthcare,0.82,248229,Insider,Zero-day,Encryption,11
Australia,2022,Phishing,Education,9.81,273354,Nation-state,Social Engineering,Encryption,6
Brazil,2018,SQL Injection,IT,8.77,268860,Hacker Group,Unpatched Software,VPN,7
France,2018,Phishing,Banking,3.21,201567,Hacker Group,Social Engineering,VPN,11
Japan,2015,Phishing,Banking,17.52,537052,Hacker Group,Social Engineering,AI-based Detection,18
Japan,2018,Phishing,IT,16.01,478120,Hacker Group,Weak Passwords,Encryption,31
Brazil,2018,Ransomware,Government,43.64,673165,Nation-state,Unpatched Software,Encryption,30
Germany,2015,Phishing,Education,4.67,68519,Insider,Zero-day,VPN,8
Germany,2023,Ransomware,Telecommunications,19.05,582879,Insider,Weak Passwords,Antivirus,20
Russia,2023,Phishing,Telecommunications,19.16,559860,Unknown,Unpatched Software,Encryption,20
UK,2022,Man-in-the-Middle,IT,13.56,478962,Hacker Group,Weak Passwords,AI-based Detection,32
France,2021,Malware,Banking,77.07,696518,Hacker Group,Unpatched Software,AI-based Detection,54
USA,2019,Malware,Banking,5.85,210114,Nation-state,Zero-day,VPN,14
France,2024,Phishing,Government,32.56,819288,Unknown,Weak Passwords,Antivirus,45
Brazil,2015,Ransomware,Retail,17.58,572748,Insider,Unpatched Software,Antivirus,32
France,2024,Phishing,Telecommunications,8.27,250341,Unknown,Social Engineering,AI-based Detection,4
Australia,2022,Ransomware,Banking,15.96,469210,Nation-state,Unpatched Software,VPN,14
Germany,2018,Ransomware,Telecommunications,32.55,795541,Nation-state,Unpatched Software,Encryption,69
Japan,2023,DDoS,IT,5.43,94133,Nation-state,Weak Passwords,AI-based Detection,18
Russia,2017,DDoS,Government,28.18,426075,Hacker Group,Unpatched Software,Encryption,20
UK,2024,SQL Injection,Government,22.3,382525,Nation-state,Unpatched Software,VPN,13
Brazil,2020,Phishing,Government,4.48,136350,Unknown,Unpatched Software,Firewall,21
Australia,2018,Ransomware,Government,46.76,751934,Unknown,Social Engineering,AI-based Detection,68
France,2023,DDoS,Healthcare,6.11,255136,Hacker Group,Social Engineering,Firewall,1
Australia,2015,SQL Injection,Retail,15.73,379403,Nation-state,Unpatched Software,Firewall,19
India,2024,Phishing,IT,7.43,231153,Hacker Group,Weak Passwords,VPN,5
USA,2020,DDoS,Retail,7.63,91581,Unknown,Zero-day,Firewall,1
Brazil,2019,SQL Injection,Banking,7.06,253424,Unknown,Unpatched Software,AI-based Detection,9
Germany,2023,DDoS,Healthcare,17.83,341424,Hacker Group,Weak Passwords,Firewall,13
Russia,2018,Man-in-the-Middle,Education,97.8,728018,Insider,Social Engineering,Firewall,55
India,2020,Phishing,Government,8.51,218588,Insider,Social Engineering,Firewall,4
Germany,2023,Malware,Banking,10.96,560025,Nation-state,Social Engineering,Firewall,47
Germany,2023,Phishing,Banking,19.39,213548,Nation-state,Zero-day,Antivirus,19
Germany,2024,Phishing,Education,4.58,194954,Unknown,Unpatched Software,Antivirus,15
USA,2023,Ransomware,Banking,17.55,445472,Insider,Unpatched Software,AI-based Detection,18
France,2017,Malware,Healthcare,2.39,52893,Unknown,Unpatched Software,AI-based Detection,21
UK,2019,DDoS,Banking,19.47,263222,Insider,Social Engineering,VPN,48
Germany,2023,Ransomware,Retail,3.43,83589,Insider,Social Engineering,Firewall,3
Russia,2019,SQL Injection,Banking,63.4,925861,Unknown,Weak Passwords,Antivirus,57
France,2020,Ransomware,Retail,10.3,307899,Unknown,Weak Passwords,Encryption,42
Brazil,2019,DDoS,Telecommunications,12.37,540323,Nation-state,Unpatched Software,Firewall,40
UK,2015,DDoS,IT,20.49,282828,Insider,Social Engineering,VPN,24
India,2021,DDoS,Banking,1.73,161289,Hacker Group,Weak Passwords,Encryption,18
Brazil,2018,DDoS,Government,32.51,635731,Insider,Social Engineering,Firewall,58
USA,2019,Man-in-the-Middle,Government,1.33,56783,Hacker Group,Weak Passwords,AI-based Detection,18
Japan,2016,SQL Injection,Government,3.79,191672,Unknown,Unpatched Software,VPN,14
USA,2020,SQL Injection,Healthcare,90.86,784972,Insider,Unpatched Software,Antivirus,64
Japan,2022,Phishing,Education,7.91,7247,Nation-state,Social Engineering,AI-based Detection,4
France,2019,Phishing,Retail,15.25,579086,Hacker Group,Weak Passwords,Encryption,31
India,2015,Man-in-the-Middle,IT,17.65,521593,Unknown,Social Engineering,Antivirus,17
China,2019,SQL Injection,Government,37.72,959155,Hacker Group,Social Engineering,Antivirus,33
USA,2017,DDoS,Government,18.29,416367,Nation-state,Unpatched Software,Firewall,21
France,2024,Phishing,Banking,6.15,114094,Unknown,Unpatched Software,Encryption,9
India,2017,Man-in-the-Middle,Telecommunications,33.63,747609,Nation-state,Weak Passwords,Antivirus,38
